handle,time,text
HillaryClinton,2016-09-27T14:53:01,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon"
realDonaldTrump,2016-09-27T14:51:25,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km"
realDonaldTrump,2016-09-27T14:49:09,Hillary's been failing for 30 years in not getting the job done - it will never change.
HillaryClinton,2016-09-27T13:57:55,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z"
realDonaldTrump,2016-09-27T13:49:07,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm
realDonaldTrump,2016-09-27T13:17:40,The #1 trend on Twitter right now is #TrumpWon - thank you!
realDonaldTrump,2016-09-27T13:14:55,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.
realDonaldTrump,2016-09-27T12:55:31,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y"
realDonaldTrump,2016-09-27T12:53:42,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?
HillaryClinton,2016-09-27T12:32:21,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO"
HillaryClinton,2016-09-27T11:57:38,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb
realDonaldTrump,2016-09-27T10:44:58,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!
realDonaldTrump,2016-09-27T06:32:29,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb"
realDonaldTrump,2016-09-27T05:54:42,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn"
realDonaldTrump,2016-09-27T05:44:02,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op"
realDonaldTrump,2016-09-27T05:36:33,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu"
realDonaldTrump,2016-09-27T05:18:10,".@newtgingrich just said ""a historic victory for Trump."" NICE!"
realDonaldTrump,2016-09-27T04:34:09,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!"
HillaryClinton,2016-09-27T04:04:38,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J
realDonaldTrump,2016-09-27T04:02:51,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8"
realDonaldTrump,2016-09-27T04:01:32,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC"
realDonaldTrump,2016-09-27T03:58:24,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ"
HillaryClinton,2016-09-27T03:41:28,#DebateNight https://t.co/x4oTfkIlHS
HillaryClinton,2016-09-27T03:33:57,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z"
HillaryClinton,2016-09-27T02:57:56,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF
HillaryClinton,2016-09-27T02:50:50,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY
HillaryClinton,2016-09-27T02:45:44,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs
HillaryClinton,2016-09-27T02:43:15,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc
realDonaldTrump,2016-09-27T02:42:49,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs"
realDonaldTrump,2016-09-27T02:40:26,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight
HillaryClinton,2016-09-27T02:40:04,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu"
HillaryClinton,2016-09-27T02:38:01,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j
realDonaldTrump,2016-09-27T02:36:11,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L
HillaryClinton,2016-09-27T02:35:21,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight"
HillaryClinton,2016-09-27T02:30:00,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J"
realDonaldTrump,2016-09-27T02:28:26,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton."
HillaryClinton,2016-09-27T02:27:23,.@realDonaldTrump: Barack Obama is your president too. #debatenight
HillaryClinton,2016-09-27T02:26:33,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight
realDonaldTrump,2016-09-27T02:26:13,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… https://t.co/OoakXs2rij"
HillaryClinton,2016-09-27T02:26:01,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… https://t.co/OXigxJhmqJ
realDonaldTrump,2016-09-27T02:21:59,Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr
realDonaldTrump,2016-09-27T02:19:47,".@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight 
https://t.co/6EEOAaCiNv"
HillaryClinton,2016-09-27T02:18:09,"""I hope the fact-checkers are turning up the volume. Donald Trump supported the invasion of Iraq.” https://t.co/CoyJtoyxd0"
HillaryClinton,2016-09-27T02:13:57,What is the deal with Donald Trump and Russia? https://t.co/xUYxOdoYo3 #debatenight
HillaryClinton,2016-09-27T02:08:29,"When Donald Trump goes low, we go high. #DebateNight https://t.co/5MUlOMJqWM"
HillaryClinton,2016-09-27T02:06:51,"When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind of president he'd be."
HillaryClinton,2016-09-27T02:04:16,"Donald Trump's answer for his five years of pushing the racist birther conspiracy theory?

""I say nothing."" #debatenight"
HillaryClinton,2016-09-27T02:01:59,"""Trump just criticized me for preparing for this debate. You know what else I prepared for? Being president."" #DebateNight"
HillaryClinton,2016-09-27T02:01:05,President Obama was born in the United States. He’s American. Trump only has one reason for refusing to admit it. #debatenight
HillaryClinton,2016-09-27T01:59:34,"Still a complete lie. #DebateNight 
https://t.co/F8aCfIqYWs"
HillaryClinton,2016-09-27T01:56:13,Donald Trump is more concerned with pandering to the gun lobby than keeping families safe. #DebateNight https://t.co/LspcUJNUc5
HillaryClinton,2016-09-27T01:55:11,"The fact that Trump's answer to a question about racial injustice is just ""we need law and order"" pretty much says it all. #debatenight"
HillaryClinton,2016-09-27T01:54:38,We’ve got to address the systemic racism in our criminal justice system and end private prisons. #DebateNight https://t.co/8afCXJAAjI
realDonaldTrump,2016-09-27T01:51:58,I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp
HillaryClinton,2016-09-27T01:50:42,We are not going to bring New York’s unconstitutional stop-and-frisk program nationwide. #debatenight
HillaryClinton,2016-09-27T01:44:51,"""Maybe he didn't do a good job."" —Donald Trump

Looks like you “loved” it at the time. #DebateNight… https://t.co/LelC6Tb3nj"
HillaryClinton,2016-09-27T01:40:50,"""It's about time this country had somebody running it who has an idea about money."" —Trump #debatenight https://t.co/dpDrKCHVCd"
HillaryClinton,2016-09-27T01:39:14,"Paying zero in taxes doesn’t make you ""smart.""

It makes you a tax evader. https://t.co/g9nQkSRvTB"
HillaryClinton,2016-09-27T01:37:26,No wonder Donald Trump is hiding his tax returns. #debatenight https://t.co/gcvsadMwHJ
realDonaldTrump,2016-09-27T01:36:50,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016"
realDonaldTrump,2016-09-27T01:33:59,HILLARY'S BAD TAX HABIT! https://t.co/x3FBy8Hdq2
realDonaldTrump,2016-09-27T01:32:25,A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5
realDonaldTrump,2016-09-27T01:28:50,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016
realDonaldTrump,2016-09-27T01:28:04,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creati… https://t.co/02NMQn3ZNQ"
HillaryClinton,2016-09-27T01:27:13,Donald Trump may live in his own reality—but we've got his own words right here. Check them out: https://t.co/NLPH8sbAGn #debatenight
realDonaldTrump,2016-09-27T01:23:43,.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016
HillaryClinton,2016-09-27T01:21:24,"We can step up and confront climate change, save our planet, and invest in clean energy. 

Or, we can do nothing.… https://t.co/U29h8UaYZP"
HillaryClinton,2016-09-27T01:19:47,"""I never said that."" —Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
HillaryClinton,2016-09-27T01:19:02,"""That's called business."" —Donald Trump on the housing crash.

For millions of Americans it was called ""losing their home."" #DebateNight"
realDonaldTrump,2016-09-27T01:18:55,.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years
HillaryClinton,2016-09-27T01:17:44,"Economists project that Trump’s plans would add more than $5,000,000,000,000 to the national debt. That's ""trillion"" with a ""T."""
HillaryClinton,2016-09-27T01:15:20,"Every time Trump makes a show of railing against outsourcing, remember the countries he shipped jobs and profits to: https://t.co/5MZTsOgYR9"
HillaryClinton,2016-09-27T01:13:45,"Having a small business owner for a dad may not get you multi-million-dollar bailouts, but it does teach you the va… https://t.co/3LV3pmjRBI"
HillaryClinton,2016-09-27T01:11:42,There's only one candidate on stage who will support working families. #DebateNight https://t.co/uOV7JC9uQC
HillaryClinton,2016-09-27T01:10:36,"We have to build an economy that works for everyone, not just those at the top. #DebateNight https://t.co/XPTvh4Dovf"
HillaryClinton,2016-09-27T01:05:03,Watch live: Hillary takes the stage for the first presidential debate → https://t.co/FbmDLQp03w #DebateNight
HillaryClinton,2016-09-27T00:51:15,Let's do this. #DebateNight https://t.co/NkPEGHzucT
realDonaldTrump,2016-09-27T00:47:05,"Why isn't Hillary Clinton 50 points ahead?
#DebateNight https://t.co/iux7icIkaT"
HillaryClinton,2016-09-27T00:31:10,"If you're with Hillary, now's the time to show it. Chip in before tonight's debate to have her back: https://t.co/OftmbqRvyQ #DebateNight"
HillaryClinton,2016-09-26T23:59:10,"No matter what Donald says at tonight's debate, we already know the real Trump.

Follow @TheBriefing2016 for the fa… https://t.co/ueK4tWWMN0"
HillaryClinton,2016-09-26T23:34:21,"Hillary’s set to take the debate stage at 9pm ET.

Here's where you can watch: https://t.co/DhwVYhlA6K #DebateNight https://t.co/gMJINu5xJi"
HillaryClinton,2016-09-26T22:53:41,"“You didn’t blame Little John or Meat Loaf. You fired Gary Busey.

These are the kinds of decisions that would keep… https://t.co/RT0cARwsu7"
realDonaldTrump,2016-09-26T22:31:53,"My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!
#DebateNight #TrumpPence16"
HillaryClinton,2016-09-26T21:59:16,Here are 35 questions Trump still needs to answer. https://t.co/rdMYbHGhwA #DebateNight
HillaryClinton,2016-09-26T20:30:05,Watch this before you watch tonight's debate. #DebateNight https://t.co/vnC4bMrS0Q
HillaryClinton,2016-09-26T19:53:32,"Trump told 31 outright lies just last week.

Keep him honest at tonight's debate: Follow @TheBriefing2016 to get th… https://t.co/m1WyJ3DJqF"
HillaryClinton,2016-09-26T19:12:51,"""Our presidents are role models for generations of our children. Is this the example we want for them?"" —@NYTimes… https://t.co/lQRruBpQfB"
HillaryClinton,2016-09-26T18:04:36,"These headlines on Trump's lies are from just one week of his campaign.

Imagine four years of his presidency. https://t.co/FE1hZ7MmR6"
HillaryClinton,2016-09-26T17:38:25,Everything you need to know before watching tonight's debate: https://t.co/Z4gcpSDfZa https://t.co/bymTtB2Et7
HillaryClinton,2016-09-26T16:36:53,"Tonight, Hillary will debate Trump for the first time. Follow @TheBriefing2016 to make sure he's held accountable to the facts. #DebateNight"
HillaryClinton,2016-09-26T16:10:44,A reminder heading into tonight's debate. #DebateNight https://t.co/TwsbBNPOZP
HillaryClinton,2016-09-26T15:40:07,"""Donald Trump is a man who dwells in bigotry, bluster and false promises."" —@NYTimes https://t.co/dGBX93R3PK #DebateNight"
HillaryClinton,2016-09-26T14:32:05,Our daughters deserve better. https://t.co/LJPlFegSTs
HillaryClinton,2016-09-26T13:12:49,Not a single living president has endorsed Donald Trump. https://t.co/nGXxXTo3NI
HillaryClinton,2016-09-26T12:40:02,Trump can't win tonight's debate by lying to the American people. https://t.co/uRkyip3Rfe
HillaryClinton,2016-09-26T12:05:23,RT this if you've got Hillary's back tonight. #Debates2016 https://t.co/r66XZWiNJL
realDonaldTrump,2016-09-26T12:02:48,"New national Bloomberg poll just released - thank you! Join the MOVEMENT: https://t.co/3KWOl2ibaW. 
#TrumpTrain… https://t.co/xDGCwYVK0Q"
HillaryClinton,2016-09-26T01:15:15,"When we come together, there's no problem we can't solve and no divide we can't heal. https://t.co/2eutCA4R6C"
realDonaldTrump,2016-09-26T01:13:40,"Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed."
HillaryClinton,2016-09-26T00:50:28,"Today, the sacrifices of Gold Star families weigh heavier on my mind. Thank you. I will fight to get you the care &amp; benefits you deserve. -H"
realDonaldTrump,2016-09-26T00:18:40,Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!
HillaryClinton,2016-09-25T22:19:14,"59 years ago, 9 brave students integrated Central High School, changing the course of history. Let's recommit to fi… https://t.co/wzF4WRU5IS"
HillaryClinton,2016-09-25T22:11:42,Let's send Donald Trump—and the world—a clear message. https://t.co/tTgeqxNqYm #LoveTrumpsHate https://t.co/0VI8zmXgZE
HillaryClinton,2016-09-25T21:11:20,Imagine Donald Trump sitting in the Situation Room making life or death decisions on behalf of the United States. https://t.co/YFraVXr5Zf
HillaryClinton,2016-09-25T19:55:58,"""[Hillary] is one of the most qualified people ever to run for the office, and she easily earns our endorsement.”… https://t.co/AhBE0UuJPO"
HillaryClinton,2016-09-25T19:12:04,Our veterans and their families deserve a president who doesn't disrespect and disparage their sacrifices. https://t.co/sMGa9bxZGX
realDonaldTrump,2016-09-25T18:15:11,"Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:
https://t.co/VHuyE65hgi https://t.co/6KDPrQxSED"
HillaryClinton,2016-09-25T18:09:38,7 ways Hillary's policies would help you in your daily life: https://t.co/f7oDXlVyx6
HillaryClinton,2016-09-25T16:27:59,Gold Star families have made sacrifices most of us can't even fathom. They deserve our respect and our thanks. https://t.co/c9gDHudBjt
HillaryClinton,2016-09-25T15:19:46,Not one living president has said they believe Donald Trump has what it takes to be Commander-in-Chief. https://t.co/3HeTtkQ6KS
HillaryClinton,2016-09-25T14:11:28,Meet three women who inspired Hillary to become the person she is today: https://t.co/1O4rw3ecBH https://t.co/Df9X0o5E6h
realDonaldTrump,2016-09-25T13:20:56,Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.
HillaryClinton,2016-09-25T13:06:07,"""Our endorsement is rooted in respect for her intellect, experience, toughness and courage."" —@NYTimes on Hillary… https://t.co/ihdRZdqGva"
realDonaldTrump,2016-09-25T13:04:46,Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!
realDonaldTrump,2016-09-25T12:30:28,"Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade, a lot!"
HillaryClinton,2016-09-24T23:49:22,"The new @NMAAHC is an overdue tribute to African American history. Let's build a more open, inclusive future by reflecting on our past. -H"
realDonaldTrump,2016-09-24T23:39:02,"Thank you Roanoke, Virginia - this a MOVEMENT - join us today!
Sign up: https://t.co/NQEgRxQN2m
#AmericaFirst… https://t.co/Rz3DkpBQJu"
HillaryClinton,2016-09-24T22:58:12,"""Our choice, Hillary Clinton, has a record of service and a raft of pragmatic ideas."" —@NYTimes endorsing Hillary… https://t.co/7Sus2PxlWC"
HillaryClinton,2016-09-24T21:55:59,"""I thought, this woman—I want to ride with her."" —Roxie, a Republican and small business owner, on meeting Hillary https://t.co/s5zyaOBLXB"
HillaryClinton,2016-09-24T21:05:47,Hillary's been fighting for women and girls her entire career—and she's just getting started. https://t.co/NMnrgEzNkT
HillaryClinton,2016-09-24T19:41:25,"""A lifetime’s commitment to solving problems in the real world qualifies Hillary Clinton for this job."" —@NYTimes https://t.co/qaswl7IOOJ"
HillaryClinton,2016-09-24T18:55:41,We know all too well who Donald Trump is. Let's make sure he never becomes president: https://t.co/tTgeqxNqYm https://t.co/3lJjQEQ0BR
HillaryClinton,2016-09-24T17:28:37,"RT if you believe that #LoveTrumpsHate

Then make sure you're registered to vote: https://t.co/tTgeqxNqYm https://t.co/TlXODnaV53"
realDonaldTrump,2016-09-24T17:08:17,"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!"
HillaryClinton,2016-09-24T15:25:09,Donald Trump doesn't see people like Anastasia—he only sees disability. https://t.co/0aDgpwHtjv
realDonaldTrump,2016-09-24T14:10:37,Will be back in Virginia tonight- for a 6pm rally at the Berglund Center in Roanoke. Join me! Tickets:… https://t.co/6pQMSgPWuN
realDonaldTrump,2016-09-24T12:43:52,"""@KellyannePolls: Trump is headed for a win, says professor who has predicted 30 years of presidential outcomes   https://t.co/68WEMcuHSO"""
realDonaldTrump,2016-09-24T12:35:02,The @SenTedCruz endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.
realDonaldTrump,2016-09-24T11:06:32,Today is the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA… https://t.co/4iW06ROvsT
realDonaldTrump,2016-09-24T02:09:56,"Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way, dumb!"
HillaryClinton,2016-09-24T02:08:19,"""Hillary Clinton is one of the best prepared candidates to seek the presidency."" —@LATimes https://t.co/NG1am536OS"
HillaryClinton,2016-09-24T00:13:50,"If the young women of this country have Donald Trump as their president, what will they think of themselves? https://t.co/1IrjWddzzy"
HillaryClinton,2016-09-23T23:36:29,Republicans are once again turning their backs on the people of Flint who have waited far too long for help. It's w… https://t.co/sYyqDHAVXp
HillaryClinton,2016-09-23T23:02:20,"""I was just blown away by this 9-year-old girl."" —Hillary on meeting disability rights advocate @AnastasiaSomoza https://t.co/nrjcqfGiRe"
HillaryClinton,2016-09-23T22:23:01,"""Donald Trump committed perjury. Or he looked into the faces of the Republican faithful and knowingly lied."" https://t.co/enl4NTjdX4"
HillaryClinton,2016-09-23T20:58:07,"""Hillary Clinton would make a sober, smart and pragmatic president. Donald Trump would be a catastrophe."" —@LATimes https://t.co/NG1am536OS"
realDonaldTrump,2016-09-23T20:13:49,"Join me in Roanoke, Virginia tomorrow at the Berglund Center- Coliseum ~ 6pm! Tickets available at:… https://t.co/bnEE6NX41Z"
HillaryClinton,2016-09-23T19:16:58,Addiction is a disease—not a moral failing. We should support those who are struggling with it. #OpioidAwarenessWeek https://t.co/V9Uz3jVEjN
HillaryClinton,2016-09-23T18:42:49,Charlotte should release police video of the Keith Lamont Scott shooting without delay. We must ensure justice &amp; work to bridge divides. -H
realDonaldTrump,2016-09-23T17:32:20,"'How Trump Would Stimulate the U.S. Economy'
https://t.co/jU3HHglnIu"
realDonaldTrump,2016-09-23T17:26:56,"Hillary Clinton just lost every Republican she ever had, including Never Trump, all farmers &amp; sm. biz, by saying she’ll tax estates at 65%."
HillaryClinton,2016-09-23T16:49:24,"""She gives us hope for the future. She's our girl.""  —Roxie, co-owner of @MercersDairy, on Hillary https://t.co/s5zyaOBLXB"
realDonaldTrump,2016-09-23T15:57:47,Tomorrow's the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA… https://t.co/05NY0wJHkL
HillaryClinton,2016-09-23T14:03:04,"When Donald Trump speaks about women, our daughters can hear him. https://t.co/0r1N6R8rV6"
HillaryClinton,2016-09-23T11:57:49,Is this the president we want for our daughters? https://t.co/GP4rfhPDGm
HillaryClinton,2016-09-23T02:59:02,"""He's 70 years old, and he's still a bully."" —Karen on @realDonaldTrump https://t.co/XBCJ4mTj24"
HillaryClinton,2016-09-23T02:27:16,Our favorite moments from Hillary's appearance on Between Two Ferns → https://t.co/tXLPQtR7tb https://t.co/Er2YqHQVhl
realDonaldTrump,2016-09-23T02:09:13,Spoke with Governor @PatMcCroryNC of North Carolina today. He is doing a tremendous job under tough circumstances.
HillaryClinton,2016-09-23T01:55:41,"""Vote."" —@Lin_Manuel https://t.co/tTgeqxNqYm https://t.co/m9H9b9X7Ar"
realDonaldTrump,2016-09-23T01:17:50,"This is more than a campaign- it is a movement. #MakeAmericaGreatAgain
SIGN UP TODAY &amp; WE WILL WIN! https://t.co/2XBs5SSRC3"
HillaryClinton,2016-09-22T23:54:58,"""I really regret doing this."" —Hillary on Between Two Ferns https://t.co/OmDyINNCrW"
HillaryClinton,2016-09-22T23:04:19,Let's make sure nobody who works full-time in America has to live in poverty. https://t.co/mpGBCNlemA https://t.co/fCcXd1MrTo
HillaryClinton,2016-09-22T21:15:43,Donald Trump's ties to Russia may conflict with America's interests—but they're great for his bottom line. https://t.co/gYbm5HxfxG
HillaryClinton,2016-09-22T20:42:37,Very concerned about the outage in Puerto Rico and the millions of families who don't have power. Hoping it's resto… https://t.co/Y2oG1CS2AN
